sample;type;domain_name;domain_accession;domain_len;query_name;query_accession;qlen;sequence_evalue;sequence_score;sequence_bias;domain_N;domain_of;domain_cevalue;domain_ievalue;domain_score;domain_bias;hmm_from;hmm_to;ali_from;ali_to;env_from;env_to;acc;description
GCF_000171415.1_ASM17141v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.3e-38;128.4;8.9;1;1;1.6e-41;7.4e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000171495.1_ASM17149v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.3e-38;128.4;8.9;1;1;1.6e-41;7.4e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000171495.1_ASM17149v1_protein;colicin;WP_000534855.1;-;92;UniRef50_P09883;-;582;3.2e-13;47.3;0.1;1;1;7.7e-17;3.7e-13;47.1;0.1;496;543;16;72;9;80;0.92;cloacin [Salmonella enterica]
GCF_000171515.1_ASM17151v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6e-38;128.4;8.9;1;1;1.6e-41;7.1e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000171535.2_ASM17153v2_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.3e-38;128.4;8.9;1;1;1.6e-41;7.3e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000173695.1_ASM17369v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6e-38;128.4;8.9;1;1;1.6e-41;7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000180195.1_ASM18019v1_protein;colicin;WP_001755313.1;-;127;Colicin;-;181;1.7e-24;85.4;2.1;1;1;4.5e-28;1.9e-24;85.3;2.1;41;154;4;117;1;122;0.93;colicin V production protein [Salmonella enterica]
GCF_000180195.1_ASM18019v1_protein;colicin;WP_001763771.1;-;39;Colicin;-;181;4.4e-09;35.2;2.9;1;1;1e-12;4.4e-09;35.2;2.9;4;40;2;38;1;39;0.94;colicin V production protein, partial [Salmonella enterica]
GCF_000180235.1_ASM18023v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;9.8e-38;128.4;8.9;1;1;1.6e-41;1.2e-37;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000180255.1_ASM18025v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.4e-38;128.4;8.9;1;1;1.6e-41;6.4e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000180275.1_ASM18027v1_protein;colicin;WP_001776970.1;-;155;Colicin;-;181;2.7e-34;117.2;7.1;1;1;4.2e-38;3.1e-34;116.9;7.1;11;154;2;145;1;150;0.96;colicin V production protein [Salmonella enterica]
GCF_000180295.1_ASM18029v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;9.4e-38;128.4;8.9;1;1;1.6e-41;1.1e-37;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000180315.1_ASM18031v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.8e-38;128.4;8.9;1;1;1.6e-41;6.8e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000180335.1_ASM18033v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;8.8e-38;128.4;8.9;1;1;1.6e-41;1e-37;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000180355.1_ASM18035v1_protein;colicin;WP_001790873.1;-;142;Colicin;-;181;1.2e-34;118.7;8.6;1;1;1.4e-38;1.3e-34;118.5;8.6;4;140;2;138;1;141;0.95;colicin V production protein, partial [Salmonella enterica]
GCF_000180375.1_ASM18037v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.8e-38;128.4;8.9;1;1;1.6e-41;6.8e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000187565.1_ASM18756v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6e-38;128.4;8.9;1;1;1.6e-41;7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000187785.1_ASM18778v2_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.1e-38;128.4;8.9;1;1;1.6e-41;7.1e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000188335.1_ASM18833v2_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;6.9e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000188355.1_ASM18835v2_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;6.9e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000188375.1_ASM18837v2_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000188395.1_ASM18839v2_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000188415.1_ASM18841v2_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000188435.1_ASM18843v2_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000188455.1_ASM18845v2_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.5e-38;128.4;8.9;1;1;1.6e-41;6.4e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000188475.1_ASM18847v2_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;6.9e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000188495.1_ASM18849v2_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.8e-38;128.4;8.9;1;1;1.6e-41;6.8e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000188515.1_ASM18851v2_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6e-38;128.4;8.9;1;1;1.6e-41;7.1e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000188535.1_ASM18853v2_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000188555.1_ASM18855v2_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000188575.1_ASM18857v2_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000188595.1_ASM18859v2_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000188615.1_ASM18861v2_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000188635.1_ASM18863v2_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000188655.1_ASM18865v2_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;6.9e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000188735.1_ASM18873v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.6e-38;128.4;8.9;1;1;1.6e-41;7.7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000188735.1_ASM18873v1_protein;colicin;WP_001283356.1;-;626;Colicin-E1;-;521;2.1e-41;140.5;9.8;1;3;0.021;100;-0.3;1.7;212;237;96;121;64;148;0.56;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_000188735.1_ASM18873v1_protein;colicin;WP_001283356.1;-;626;Colicin-E1;-;521;2.1e-41;140.5;9.8;2;3;1;4900;-11.8;17.6;116;234;159;273;100;289;0.58;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_000188735.1_ASM18873v1_protein;colicin;WP_001283356.1;-;626;Colicin-E1;-;521;2.1e-41;140.5;9.8;3;3;4.2e-45;2.1e-41;140.5;9.8;287;521;384;626;338;626;0.8;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_000188735.1_ASM18873v1_protein;colicin;WP_001283356.1;-;626;UniRef50_P05819;-;511;4e-15;53.6;7;1;2;0.25;1300;-4.1;0.4;398;433;85;117;68;125;0.5;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_000188735.1_ASM18873v1_protein;colicin;WP_001283356.1;-;626;UniRef50_P05819;-;511;4e-15;53.6;7;2;2;8.2e-19;4e-15;53.6;7;312;508;443;623;391;625;0.77;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_000188735.1_ASM18873v1_protein;colicin;WP_001283356.1;-;626;UniRef50_P06716;-;626;0;1356;24;1;1;0;0;1355.8;24;1;626;1;626;1;626;1;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_000188735.1_ASM18873v1_protein;colicin;WP_001132021.1;-;448;UniRef50_P06716;-;626;1.9e-06;24.5;0;1;1;1e-09;2.5e-06;24.1;0;12;62;393;447;385;448;0.86;MULTISPECIES: hypothetical protein [Enterobacteriaceae]
GCF_000188735.1_ASM18873v1_protein;colicin;WP_001283356.1;-;626;UniRef50_P08083;-;387;9.4e-10;36.1;4.2;1;1;2.9e-13;1.4e-09;35.5;4.2;186;382;438;624;405;626;0.84;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_000188735.1_ASM18873v1_protein;colicin;WP_001283356.1;-;626;UniRef50_Q47502;-;490;3.2e-43;146.6;12;1;2;1;4900;-12;19.2;145;283;105;267;57;283;0.48;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_000188735.1_ASM18873v1_protein;colicin;WP_001283356.1;-;626;UniRef50_Q47502;-;490;3.2e-43;146.6;12;2;2;6.5e-47;3.2e-43;146.6;12;266;490;401;626;375;626;0.94;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_000188735.1_ASM18873v1_protein;colicin;WP_001283356.1;-;626;UniRef50_Q9KJ98;-;490;3.2e-43;146.6;12;1;2;1;4900;-12;19.2;145;283;105;267;57;283;0.48;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_000188735.1_ASM18873v1_protein;colicin;WP_001283356.1;-;626;UniRef50_Q9KJ98;-;490;3.2e-43;146.6;12;2;2;6.5e-47;3.2e-43;146.6;12;266;490;401;626;375;626;0.94;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_000188895.1_ASM18889v2_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000188915.1_ASM18891v2_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;6.9e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000188935.1_ASM18893v2_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;6.9e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000188955.2_ASM18895v5_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000188975.1_ASM18897v2_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.8e-38;128.4;8.9;1;1;1.6e-41;6.8e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
