Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633","Bacteria;Proteobacteria;Gammaproteobacteria","CVM19633","SAMN02604064","PRJNA19459","GCA_000020745.1","Complete",4.82389,52.2367,"chromosome:NC_011094.1/CP001127.1; plasmid pCVM19633_110:NC_011092.1/CP001125.1; plasmid pCVM19633_4:NC_011093.1/CP001126.1",,3,4655,"2008-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/745/GCA_000020745.1_ASM2074v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/745/GCF_000020745.1_ASM2074v1"
"Salmonella enterica subsp. enterica serovar Agona str. SL483","Bacteria;Proteobacteria;Gammaproteobacteria","SL483","SAMN02604068","PRJNA20063","GCA_000020885.1","Complete",4.83664,52.0105,"chromosome:NC_011149.1/CP001138.1; plasmid unnamed:NC_011148.1/CP001137.1",,2,4634,"2008-08-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/885/GCA_000020885.1_ASM2088v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/885/GCF_000020885.1_ASM2088v1"
"Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853","Bacteria;Proteobacteria;Gammaproteobacteria","CT_02021853","SAMN02604065","PRJNA19467","GCA_000020925.1","Complete",4.91746,52.1454,"chromosome:NC_011205.1/CP001144.1; plasmid pCT02021853_74:NC_011204.1/CP001143.1",,2,4731,"2008-09-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/925/GCA_000020925.1_ASM2092v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/925/GCF_000020925.1_ASM2092v1"
"Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601","Bacteria;Proteobacteria;Gammaproteobacteria","AKU12601","SAMEA1705953","PRJEA30943","GCA_000026565.1","Complete",4.5818,52.2,"chromosome:NC_011147.1/FM200053.1",,1,4318,"2008-08-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/565/GCA_000026565.1_ASM2656v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/565/GCF_000026565.1_ASM2656v1"
"Salmonella enterica subsp. enterica serovar Typhimurium str. D23580","Bacteria;Proteobacteria;Gammaproteobacteria","D23580","SAMEA2272777","PRJEA40625","GCA_000027025.1","Complete",4.8794,52.2,"chromosome:NC_016854.1/FN424405.1",,1,4737,"2009-10-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/025/GCA_000027025.1_ASM2702v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/025/GCF_000027025.1_ASM2702v1"
"Salmonella enterica subsp. enterica serovar Montevideo str. 507440-20","Bacteria;Proteobacteria;Gammaproteobacteria","507440-20","SAMN00710608","PRJNA50023","GCA_000188955.5","Complete",4.69437,52.2,"chromosome:NZ_CP007530.1/CP007530.1",,1,4481,"2014-04-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/188/955/GCA_000188955.5_ASM18895v5","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/188/955/GCF_000188955.2_ASM18895v5"
"Salmonella enterica subsp. enterica serovar Pomona str. ATCC 10729","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC 10729","SAMN00754430","PRJNA61431","GCA_000240905.3","Complete",4.67802,52.2424,,,3,4505,"2018-01-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/905/GCA_000240905.3_ASM24090v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/905/GCF_000240905.2_ASM24090v3"
"Salmonella enterica subsp. enterica serovar Typhimurium str. 798","Bacteria;Proteobacteria;Gammaproteobacteria","798","SAMN02604223","PRJNA66023","GCA_000252875.1","Complete",4.9701,52.217,"chromosome:NC_017046.1/CP003386.1; plasmid p798_93:NC_017054.1/CP003387.1",,2,4812,"2012-03-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/252/875/GCA_000252875.1_ASM25287v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/252/875/GCF_000252875.1_ASM25287v1"
"Salmonella enterica subsp. enterica serovar Heidelberg str. B182","Bacteria;Proteobacteria;Gammaproteobacteria","B182","SAMN02603149","PRJNA88529","GCA_000258365.1","Complete",4.78805,52.1137,"chromosome:NC_017623.1/CP003416.1; plasmid pB182_37:NC_017624.1/CP003417.1",,2,4555,"2012-04-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/258/365/GCA_000258365.1_ASM25836v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/258/365/GCF_000258365.1_ASM25836v1"
"Salmonella enterica subsp. enterica serovar Newport str. Levine 1","Bacteria;Proteobacteria;Gammaproteobacteria","Levine 1","SAMN05172397","PRJNA60529","GCA_000271885.2","Complete",4.84192,52.1,"chromosome:NZ_CP015923.1/CP015923.1",,1,4622,"2016-12-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/885/GCA_000271885.2_ASM27188v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/885/GCF_000271885.2_ASM27188v2"
"Salmonella enterica subsp. enterica serovar Newport str. Levine 15","Bacteria;Proteobacteria;Gammaproteobacteria","Levine 15","SAMN05172398","PRJNA60531","GCA_000271905.2","Complete",4.88371,52.2,"chromosome:NZ_CP015924.1/CP015924.1",,1,4696,"2016-12-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/905/GCA_000271905.2_ASM27190v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/905/GCF_000271905.2_ASM27190v2"
"Salmonella enterica subsp. enterica serovar Newport str. CVM 21550","Bacteria;Proteobacteria;Gammaproteobacteria","CVM 21550","SAMN01765627","PRJNA49631","GCA_000272715.4","Complete",4.97852,52.1952,"chromosome:NZ_CP010283.1/CP010283.1; plasmid pCVM21550:NZ_CP009564.1/CP009564.1",,2,4878,"2015-03-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/272/715/GCA_000272715.4_ASM27271v4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/272/715/GCF_000272715.4_ASM27271v4"
"Salmonella enterica subsp. enterica serovar Newport str. CVM 22513","Bacteria;Proteobacteria;Gammaproteobacteria","CVM 22513","SAMN01805325","PRJNA49635","GCA_000272735.4","Complete",4.95111,52.1951,"chromosome:NZ_CP010281.1/CP010281.1; plasmid pCVM22513:NZ_CP009562.1/CP009562.1",,2,4803,"2015-03-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/272/735/GCA_000272735.4_ASM27273v4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/272/735/GCF_000272735.4_ASM27273v4"
"Salmonella enterica subsp. enterica serovar Newport str. CVM 21538","Bacteria;Proteobacteria;Gammaproteobacteria","CVM 21538","SAMN01765628","PRJNA49637","GCA_000272755.4","Complete",4.87594,52.2131,"chromosome:NZ_CP010282.1/CP010282.1; plasmid pCVM21538:NZ_CP009563.1/CP009563.1",,2,4675,"2015-03-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/272/755/GCA_000272755.4_ASM27275v4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/272/755/GCF_000272755.4_ASM27275v4"
"Salmonella enterica subsp. enterica serovar Newport str. CVM 22425","Bacteria;Proteobacteria;Gammaproteobacteria","CVM 22425","SAMN01813481","PRJNA49639","GCA_000272775.4","Complete",4.99113,52.1905,"chromosome:NZ_CP010279.1/CP010279.1; plasmid pCVM22425:NZ_CP009560.1/CP009560.1",,2,4847,"2015-03-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/272/775/GCA_000272775.4_ASM27277v4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/272/775/GCF_000272775.4_ASM27277v4"
"Salmonella enterica subsp. enterica serovar Newport str. CVM N18486","Bacteria;Proteobacteria;Gammaproteobacteria","CVM N18486","SAMN01816117","PRJNA49973","GCA_000272815.2","Complete",4.75584,52.2,"chromosome:NZ_CP009561.1/CP009561.1",,1,4585,"2014-10-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/272/815/GCA_000272815.2_ASM27281v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/272/815/GCF_000272815.2_ASM27281v2"
"Salmonella enterica subsp. enterica serovar Newport str. CVM N1543","Bacteria;Proteobacteria;Gammaproteobacteria","CVM N1543","SAMN01816118","PRJNA49975","GCA_000272835.4","Complete",4.94654,52.1976,"chromosome:NZ_CP010284.1/CP010284.1; plasmid pCVMN1543:NZ_CP009570.1/CP009570.1",,2,4824,"2015-03-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/272/835/GCA_000272835.4_ASM27283v4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/272/835/GCF_000272835.4_ASM27283v4"
"Salmonella enterica subsp. enterica serovar Newport str. CVM 22462","Bacteria;Proteobacteria;Gammaproteobacteria","CVM 22462","SAMN01813482","PRJNA49971","GCA_000272895.3","Complete",5.1212,52.1435,"chromosome:NZ_CP010280.1/CP010280.1; plasmid pCFSAN000934_02:NZ_CP009567.1/CP009567.1; plasmid pCFSAN000934_03:NZ_CP009568.1/CP009568.1; plasmid pCVM22462:NZ_CP009566.1/CP009566.1",,4,5053,"2015-01-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/272/895/GCA_000272895.3_ASM27289v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/272/895/GCF_000272895.2_ASM27289v3"
"Salmonella enterica subsp. enterica serovar Enteritidis str. 77-1427","Bacteria;Proteobacteria;Gammaproteobacteria","77-1427","SAMN01041143","PRJNA60069","GCA_000280315.2","Complete",4.71868,52.0968,"chromosome:NZ_CP007598.1/CP007598.1; plasmid pCFSAN000111_01:NZ_CP007599.1/CP007599.1",,2,4546,"2014-05-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/280/315/GCA_000280315.2_ASM28031v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/280/315/GCF_000280315.2_ASM28031v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0968","Bacteria;Proteobacteria;Gammaproteobacteria","CDC_2010K-0968","SAMN01041170","PRJNA52491","GCA_000329365.2","Complete",4.73903,52.1975,"chromosome:NZ_CP007528.1/CP007528.1; plasmid plasmid00:NZ_CP007529.1/CP007529.1",,2,4554,"2014-04-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/329/365/GCA_000329365.2_ASM32936v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/329/365/GCF_000329365.2_ASM32936v2"
"Salmonella enterica subsp. enterica serovar Pullorum str. ATCC 9120","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC 9120","SAMN01805317","PRJNA66671","GCA_000330485.2","Complete",4.78149,52.2199,"chromosome:NZ_CP012347.1/CP012347.1; plasmid pCFSAN000725_01:NZ_CP012348.1/CP012348.1",,2,4413,"2015-08-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/330/485/GCA_000330485.2_ASM33048v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/330/485/GCF_000330485.2_ASM33048v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. 18569","Bacteria;Proteobacteria;Gammaproteobacteria","18569","SAMN01041085","PRJNA41929","GCA_000335875.2","Complete",4.74533,52.1962,"chromosome:NZ_CP011394.1/CP011394.1; plasmid pCFSAN000006:NZ_CP011395.1/CP011395.1",,2,4558,"2015-05-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/335/875/GCA_000335875.2_ASM33587v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/335/875/GCF_000335875.2_ASM33587v2"
"Salmonella enterica subsp. enterica serovar Gallinarum str. 9184","Bacteria;Proteobacteria;Gammaproteobacteria","9184","SAMN00811241","PRJNA41263","GCA_000335995.2","Complete",4.60991,52.2,"chromosome:NZ_CP019035.1/CP019035.1",,1,4213,"2017-01-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/335/995/GCA_000335995.2_ASM33599v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/335/995/GCF_000335995.2_ASM33599v2"
"Salmonella enterica subsp. enterica serovar Javiana str. CFSAN001992","Bacteria;Proteobacteria;Gammaproteobacteria","CFSAN001992","SAMN01832085","PRJNA183458","GCA_000341425.1","Complete",4.67527,52.1662,"chromosome:NC_020307.1/CP004027.1; plasmid pCFSAN001992_1:NC_020306.1/CP004026.1; plasmid pCFSAN001992_2:NC_020308.1/CP004028.1",,3,4454,"2013-02-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/341/425/GCA_000341425.1_ASM34142v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/341/425/GCF_000341425.1_ASM34142v1"
"Salmonella enterica subsp. enterica serovar Typhi str. Ty21a","Bacteria;Proteobacteria;Gammaproteobacteria","Ty21a","SAMN02603210","PRJNA34855","GCA_000385905.1","Complete",4.79196,52,"chromosome:NC_021176.1/CP002099.1",,1,4593,"2013-05-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/385/905/GCA_000385905.1_ASM38590v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/385/905/GCF_000385905.1_ASM38590v1"
"Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN002069","Bacteria;Proteobacteria;Gammaproteobacteria","CFSAN002069","SAMN01832089","PRJNA184142","GCA_000430085.2","Complete",4.93199,52.1204,"chromosome:NC_021812.2/CP005390.2; plasmid pCFSAN002069_01:NC_021813.2/CP005389.2; plasmid pCFSAN002069_02:NC_021842.2/CP005391.2",,3,4784,"2013-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/430/085/GCA_000430085.2_ASM43008v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/430/085/GCF_000430085.2_ASM43008v2"
"Salmonella enterica subsp. enterica serovar Heidelberg str. 41578","Bacteria;Proteobacteria;Gammaproteobacteria","41578","SAMN01088008","PRJNA78477","GCA_000430105.1","Complete",4.95148,52.1153,"chromosome:NC_021810.1/CP004086.1; plasmid pSEEH1578_01:NC_021811.1/CP004087.1; plasmid pSEEH1578_02:NC_021841.1/CP004088.1; plasmid pSEEH1578_03:NC_021869.1/CP004857.1",,4,4827,"2013-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/430/105/GCA_000430105.1_ASM43010v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/430/105/GCF_000430105.1_ASM43010v1"
"Salmonella enterica subsp. enterica serovar Cubana str. CFSAN002050","Bacteria;Proteobacteria;Gammaproteobacteria","CFSAN002050","SAMN01832088","PRJNA184141","GCA_000430125.1","Complete",5.26701,51.8899,"chromosome:NC_021818.1/CP006055.1; plasmid unnamed:NC_021845.1/CP006056.1; plasmid unnamed2:NC_021819.1/CP006057.1",,3,5081,"2013-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/430/125/GCA_000430125.1_ASM43012v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/430/125/GCF_000430125.1_ASM43012v1"
"Salmonella enterica subsp. enterica serovar 4,[5],12:i:- str. 08-1736","Bacteria;Proteobacteria;Gammaproteobacteria","08-1736","SAMN02212496","PRJNA50689","GCA_000430165.1","Complete",4.82219,52.2,"chromosome:NC_021820.1/CP006602.1",,1,4685,"2013-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/430/165/GCA_000430165.1_ASM43016v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/430/165/GCF_000430165.1_ASM43016v1"
"Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000189","Bacteria;Proteobacteria;Gammaproteobacteria","CFSAN000189","SAMN01823701","PRJNA159279","GCA_000439415.1","Complete",4.80881,52.174,"chromosome:NC_021844.1/CP006053.1; plasmid unnamed:NC_021817.1/CP006054.1",,2,4606,"2013-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/439/415/GCA_000439415.1_ASM43941v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/439/415/GCF_000439415.1_ASM43941v1"
"Salmonella enterica subsp. enterica serovar Newport str. USMARC-S3124.1","Bacteria;Proteobacteria;Gammaproteobacteria","USMARC-S3124.1","SAMN02297856","PRJNA51643","GCA_000442415.1","Complete",4.91596,52.1,"chromosome:NC_021902.1/CP006631.1",,1,4806,"2013-07-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/442/415/GCA_000442415.1_ASM44241v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/442/415/GCF_000442415.1_ASM44241v1"
"Salmonella enterica subsp. enterica serovar Gallinarum/pullorum str. CDC1983-67","Bacteria;Proteobacteria;Gammaproteobacteria","CDC1983-67","SAMN01884234","PRJNA173203","GCA_000462995.1","Complete",4.62309,52.2,"chromosome:NC_022221.1/CP003786.1",,1,4247,"2013-08-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/462/995/GCA_000462995.1_ASM46299v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/462/995/GCF_000462995.1_ASM46299v1"
"Salmonella enterica subsp. enterica serovar Thompson str. RM6836","Bacteria;Proteobacteria;Gammaproteobacteria","RM6836","SAMN02604282","PRJNA70669","GCA_000473275.1","Complete",4.70765,52.2,"chromosome:NC_022525.1/CP006717.1",,1,4504,"2013-09-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/473/275/GCA_000473275.1_ASM47327v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/473/275/GCF_000473275.1_ASM47327v1"
"Salmonella enterica subsp. enterica serovar Newport str. WA_14882","Bacteria;Proteobacteria;Gammaproteobacteria","WA_14882","SAMN02415193","PRJNA63695","GCA_000483715.2","Complete",4.71254,52.2,"chromosome:NZ_CP016357.1/CP016357.1",,1,4521,"2016-12-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/483/715/GCA_000483715.2_ASM48371v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/483/715/GCF_000483715.2_ASM48371v2"
"Salmonella enterica subsp. enterica serovar Agona str. 460004 2-1","Bacteria;Proteobacteria;Gammaproteobacteria","460004 2-1","SAMN02415150","PRJNA78433","GCA_000484195.2","Complete",4.79717,52.1,"chromosome:NZ_CP011259.1/CP011259.1",,1,4580,"2015-04-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/484/195/GCA_000484195.2_ASM48419v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/484/195/GCF_000484195.2_ASM48419v2"
"Salmonella enterica subsp. enterica serovar Heidelberg str. SARA35","Bacteria;Proteobacteria;Gammaproteobacteria","SARA35","SAMN01087969","PRJNA66675","GCA_000486045.2","Complete",4.75121,52.2,"chromosome:NZ_CP019176.1/CP019176.1",,1,4553,"2017-01-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/486/045/GCA_000486045.2_ASM48604v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/486/045/GCF_000486045.2_ASM48604v2"
"Salmonella enterica subsp. enterica serovar Saintpaul str. SARA26","Bacteria;Proteobacteria;Gammaproteobacteria","SARA26","SAMN01805318","PRJNA42913","GCA_000486165.2","Complete",4.68679,52,"chromosome:NZ_CP017727.1/CP017727.1",,1,4424,"2016-10-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/486/165/GCA_000486165.2_ASM48616v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/486/165/GCF_000486165.2_ASM48616v2"
"Salmonella enterica subsp. enterica serovar Typhimurium str. SARA13","Bacteria;Proteobacteria;Gammaproteobacteria","SARA13","SAMN01823705","PRJNA66667","GCA_000486345.2","Complete",4.91363,52.2172,"chromosome:NZ_CP017728.1/CP017728.1; plasmid pSARA13:NZ_CP017729.1/CP017729.1",,2,4737,"2016-10-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/486/345/GCA_000486345.2_ASM48634v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/486/345/GCF_000486345.2_ASM48634v2"
"Salmonella enterica subsp. enterica serovar Thompson str. ATCC 8391","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC 8391","SAMN01823736","PRJNA61153","GCA_000486365.2","Complete",4.69043,52.3,"chromosome:NZ_CP011396.1/CP011396.1",,1,4478,"2015-05-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/486/365/GCA_000486365.2_ASM48636v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/486/365/GCF_000486365.2_ASM48636v2"
